,country,year,gpd,life,continent,population
1,Afghanistan,1800,603,28.21,Asia,3280000
2,Afghanistan,1801,603,28.2,Asia,3280000
3,Afghanistan,1802,603,28.19,Asia,3280000
4,Afghanistan,1803,603,28.18,Asia,3280000
5,Afghanistan,1804,603,28.17,Asia,3280000
6,Afghanistan,1805,603,28.16,Asia,3280000
7,Afghanistan,1806,603,28.15,Asia,3280000
8,Afghanistan,1807,603,28.14,Asia,3280000
9,Afghanistan,1808,603,28.13,Asia,3280000
10,Afghanistan,1809,603,28.12,Asia,3280000
11,Afghanistan,1810,604,28.11,Asia,3280000
12,Afghanistan,1811,604,28.1,Asia,3280779
13,Afghanistan,1812,604,28.09,Asia,3282342
14,Afghanistan,1813,604,28.08,Asia,3284692
15,Afghanistan,1814,604,28.07,Asia,3287834
16,Afghanistan,1815,604,28.06,Asia,3291770
17,Afghanistan,1816,604,28.05,Asia,3296506
18,Afghanistan,1817,604,28.04,Asia,3302044
19,Afghanistan,1818,604,28.03,Asia,3308390
20,Afghanistan,1819,604,28.02,Asia,3315547
21,Afghanistan,1820,604,28.01,Asia,3323519
22,Afghanistan,1821,607,28,Asia,3332311
23,Afghanistan,1822,609,27.99,Asia,3341926
24,Afghanistan,1823,611,27.98,Asia,3352368
25,Afghanistan,1824,613,27.97,Asia,3363642
26,Afghanistan,1825,615,27.95,Asia,3375751
27,Afghanistan,1826,617,27.94,Asia,3388701
28,Afghanistan,1827,619,27.93,Asia,3402494
29,Afghanistan,1828,621,27.92,Asia,3417136
30,Afghanistan,1829,623,27.91,Asia,3432630
31,Afghanistan,1830,625,27.9,Asia,3448982
32,Afghanistan,1831,627,27.89,Asia,3466194
33,Afghanistan,1832,630,27.88,Asia,3483492
34,Afghanistan,1833,632,27.87,Asia,3500877
35,Afghanistan,1834,634,27.86,Asia,3518348
36,Afghanistan,1835,636,27.85,Asia,3535906
37,Afghanistan,1836,638,27.84,Asia,3553552
38,Afghanistan,1837,640,27.83,Asia,3571286
39,Afghanistan,1838,643,27.82,Asia,3589109
40,Afghanistan,1839,645,27.81,Asia,3607021
41,Afghanistan,1840,647,27.8,Asia,3625022
42,Afghanistan,1841,649,27.79,Asia,3643112
43,Afghanistan,1842,651,27.78,Asia,3661294
44,Afghanistan,1843,654,27.77,Asia,3679565
45,Afghanistan,1844,656,27.76,Asia,3697928
46,Afghanistan,1845,658,27.75,Asia,3716383
47,Afghanistan,1846,660,27.74,Asia,3734930
48,Afghanistan,1847,663,27.73,Asia,3753569
49,Afghanistan,1848,665,27.72,Asia,3772301
50,Afghanistan,1849,667,27.71,Asia,3791127
51,Afghanistan,1850,669,27.7,Asia,3810047
52,Afghanistan,1851,672,27.69,Asia,3826140
53,Afghanistan,1852,674,27.68,Asia,3842299
54,Afghanistan,1853,676,27.67,Asia,3858524
55,Afghanistan,1854,678,27.66,Asia,3874815
56,Afghanistan,1855,681,27.65,Asia,3891173
57,Afghanistan,1856,683,27.64,Asia,3907598
58,Afghanistan,1857,685,27.63,Asia,3924089
